pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,porcentaje_aciertos,cantidad_fallos,cantidad_aciertos,cantidad_veces_preguntada
¿Qué prócer argentino creó la bandera?,Domingo Sarmiento,José de San Martín,Manuel Belgrano,Juan Lavalle,3,50.0,1,1,2
¿Qué escritora argentina ganó el Premio Cervantes en 2018?,Silvina Ocampo,María Elena Walsh,María Teresa Andruetto,Samanta Schweblin,3,0.0,2,0,2
¿Cuál es el nombre del equipo de fútbol conocido como 'La Academia'?,Boca Juniors,Racing Club,River Plate,San Lorenzo,2,100.0,0,1,1
¿En qué provincia se encuentra la ciudad de Mendoza?,Santa Fe,San Juan,Mendoza,La Rioja,3,50.0,1,1,2
¿Qué ciudad argentina es conocida por sus cataratas?,Misiones,Puerto Iguazú,Cataratas de Córdoba,Bariloche,2,0.0,1,0,1
¿Cuál es el pico más alto de Argentina?,Cerro Aconcagua,Cerro Tronador,Cerro Fitz Roy,Cerro Champaquí,1,100.0,0,2,2
¿Cuál es la montaña más alta de América del Sur?,Cerro Bonete,Monte Pissis,Aconcagua,Cerro Mercedario,3,0.0,1,0,1
¿Qué actriz argentina fue esposa de Juan Domingo Perón?,Tita Merello,Eva Perón,Libertad Lamarque,Mirtha Legrand,2,50.0,1,1,2
¿En qué provincia se encuentra la ciudad de Ushuaia?,Santa Cruz,Chubut,Tierra del Fuego,Neuquén,3,50.0,1,1,2
¿Cuál es el ave nacional de Argentina?,Cóndor,Ñandú,Hornero,Carancho,3,50.0,1,1,2
¿Qué bebida es famosa en Argentina?,Tequila,Mate,Pisco,Café,2,0.0,1,0,1
¿Qué río separa a Argentina de Uruguay?,Río Paraná,Río Colorado,Río de la Plata,Río Uruguay,3,100.0,0,1,1
¿Cuál es la danza tradicional de Argentina?,Salsa,Cumbia,Tango,Cueca,3,0.0,0,0,0
¿Cuál es la Avenida más ancha del mundo ubicada en Buenos Aires?,Avenida de Mayo,Avenida Corrientes,Avenida 9 de Julio,Avenida Libertador,3,0.0,0,0,0
¿En qué año ganó Argentina su primer mundial de fútbol?,1978,1986,2002,1994,1,0.0,0,0,0
¿Cuál es el nombre del famoso glaciar en la Patagonia?,Perito Moreno,Martial,Upsala,Spegazzini,1,100.0,0,1,1
¿Cuál es la capital de Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza,1,100.0,0,1,1
¿Quién es el autor de 'Martín Fierro'?,Jorge Luis Borges,José Hernández,Julio Cortázar,Ricardo Güiraldes,2,0.0,0,0,0
¿En qué año fue la Guerra de las Malvinas?,1980,1982,1984,1976,2,100.0,0,1,1
¿Quién es conocido como el 'Padre de la Patria' en Argentina?,Juan Manuel de Rosas,José de San Martín,Manuel Belgrano,Bartolomé Mitre,2,0.0,0,0,0
¿En qué ciudad nació Lionel Messi?,Rosario,Buenos Aires,Córdoba,La Plata,1,100.0,0,1,1
¿Cuál es el nombre del teatro más famoso de Buenos Aires?,Teatro Colón,Teatro Gran Rex,Teatro Nacional,Teatro Cervantes,1,0.0,0,0,0
¿Qué famoso cantante argentino popularizó el tango?,Astor Piazzolla,Carlos Gardel,Sandro,Luis Alberto Spinetta,2,0.0,0,0,0
¿Qué moneda se utiliza en Argentina?,Dólar,Peso,Real,Euro,2,100.0,0,1,1
¿Quién compuso la canción 'Gracias a la Vida'?,Mercedes Sosa,Charly García,Violeta Parra,Fito Páez,3,0.0,1,0,1
¿En qué año fue elegido presidente Néstor Kirchner?,2000,2003,2007,2011,2,0.0,0,0,0
